Portuguese,English
como,as
I,I
seu,his
que,that
ele,he
foi,was
para,for
em,on
são,are
com,with
eles,they
ser,be
em,at
uma,one
tem,have
este,this
a partir de,from
por,by
quente,hot
palavra,word
mas,but
o que,what
alguns,some
é,is
ele,it
você,you
ou,or
teve,had
o,the
de,of
a,to
e,and
uma,a
em,in
nós,we
lata,can
fora,out
outro,other
foram,were
que,which
fazer,do
seu,their
tempo,time
se,if
vontade,will
como,how
disse,said
uma,an
cada,each
,
dizer,tell
faz,does
conjunto,set
três,three
quer,want
ar,air
bem,well
também,also
jogar,play
pequeno,small
fim,end
colocar,put
casa,home
ler,read
mão,hand
port,port
grande,large
soletrar,spell
adicionar,add
mesmo,even
terra,land
aqui,here
necessário,must
grande,big
alto,high
tais,such
siga,follow
ato,act
por que,why
perguntar,ask
homens,men
mudança,change
fui,went
luz,light
tipo,kind
off,off
precisa,need
casa,house
imagem,picture
tentar,try
nós,us
novamente,again
animais,animal
ponto,point
mãe,mother
perto,near
construir,build
auto,self
,
terra,earth
pai,father
qualquer,any
novo,new
trabalho,work
parte,part
tomar,take
obter,get
feito,made
viver,live
onde,where
depois,after
de volta,back
pouco,little
apenas,only
rodada,round
homem,man
ano,year
veio,came
exposição,show
cada,every
bom,good
me,me
dar,give
nossa,our
sob,under
nome,name
muito,very
através,through
justo,just
forma,form
sentença,sentence
grande,great
acho que,think
dizer,say
ajudar,help
baixo,low
linha,line
diferir,differ
vez,turn
causa,cause
muito,much
significar,mean
antes,before
mudança,move
direito,right
menino,boy
velho,old
,
também,too
mesmo,same
ela,she
tudo,all
lá,there
quando,when
up,up
usar,use
seu,your
maneira,way
sobre,about
muitos,many
depois,then
eles,them
escrever,write
faria,would
como,like
assim,so
estes,these
seu,her
longo,long
fazer,make
coisa,thing
veja,see
ele,him
dois,two
tem,has
olhar,look
mais,more
dia,day
poderia,could
ir,go
vir,come
fez,did
número,number
som,sound
não,no
mais,most
pessoas,people
sobre,over
sei,know
água,water
que,than
chamada,call
primeiro,first
que,who
pode,may
para baixo,down
lado,side
,
sido,been
encontrar,find
cabeça,head
ficar,stand
próprio,own
página,page
deveria,should
país,country
encontrado,found
resposta,answer
escola,school
crescer,grow
estudo,study
ainda,still
aprender,learn
planta,plant
cobertura,cover
alimentos,food
sol,sun
quatro,four
estado,state
manter,keep
olho,eye
nunca,never
último,last
deixar,let
pensava,thought
cidade,city
árvore,tree
atravessar,cross
fazenda,farm
difícil,hard
começo,start
poder,might
história,story
serra,saw
longe,far
mar,sea
desenhar,draw
esquerda,left
tarde,late
run,run
não,don’t
enquanto,while
imprensa,press
perto,close
noite,night
,
reais,real
vida,life
poucos,few
norte,north
livro,book
carregam,carry
tomou,took
ciência,science
comer,eat
quarto,room
amigo,friend
começou,began
idéia,idea
peixe,fish
montanha,mountain
Pare,stop
uma vez,once
base,base
ouvir,hear
cavalo,horse
corte,cut
certo,sure
assista,watch
cor,color
rosto,face
madeira,wood
principal,main
aberto,open
parecem,seem
juntos,together
próximo,next
branco,white
crianças,children
início,begin
tem,got
andar,walk
exemplo,example
facilidade,ease
papel,paper
grupo,group
sempre,always
música,music
aqueles,those
tanto,both
marca,mark
muitas vezes,often
carta,letter
até,until
milha,mile
rio,river
,
carro,car
pés,feet
cuidados,care
segunda,second
